,company name,job_title,Location,Estimated salary,posted,rating,link
20,Navig8 Group,Data Scientist,Mumbai,₹4L - ₹8L (Glassdoor Est.),30d+,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=121&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c08ead52&cb=1681829886226&jobListingId=1008485230849&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-99cb33e6bd4f6e92-
21,Relinns Technologies,Data Science Intern,Mohali,₹10T (Employer Est.),4d,4.7,https://www.glassdoor.co.in/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ff960d25&cb=1681829886226&jobListingId=1008588255254&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-8484406585bfd788-
22,Aidetic Software Pvt Ltd,Data Scientist,Bangalore,₹8L - ₹15L (Employer Est.),24h,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_42df4e68&cb=1681829886226&jobListingId=1008594717226&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-2c9a8c61a79d6111-
23,Diverse Infotech,Data Science Analytics,Gurgaon,₹2L - ₹8L (Glassdoor Est.),30d+,4.0,https://www.glassdoor.co.in/partner/jobListing.htm?pos=124&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&cs=1_a5cf27a7&cb=1681829886226&jobListingId=1008500657362&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-730378b4ee8f471f-
24,Mastercard,Data Scientist,Gurgaon,₹2L - ₹2L (Glassdoor Est.),8d,4.3,https://www.glassdoor.co.in/partner/jobListing.htm?pos=125&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&cs=1_c7f014de&cb=1681829886226&jobListingId=1008579260859&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-1530d7e56d2655f4-
25,Puneri Pattern,Data Scientist,Maharashtra,Unrevealed,30d+,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=126&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&cs=1_e25f1dad&cb=1681829886226&jobListingId=1008518765011&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-ebb1fe9d4e0a9467-
26,Binks,Data Scientist (Products),Remote,Unrevealed,24h,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=127&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_cf7681a2&cb=1681829886226&jobListingId=1008594856133&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-2f4fb42bb24de2f0-
27,Magpie XYZ,Freelance Data Scientist / Optimization Specialist,Remote,₹4L - ₹6L (Employer Est.),30d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=128&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4709a0ac&cb=1681829886226&jobListingId=1008536771731&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-a876d07e6941971f-
28,Kwalee,Machine Learning Engineer,Bangalore,₹6L - ₹8L (Glassdoor Est.),3d,3.3,https://www.glassdoor.co.in/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&cs=1_b6e2bff7&cb=1681829886226&jobListingId=1008589186402&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-c84494df52212457-
29,Serendipity Corporate Services,Vacancy for Data Scientist,Pune,₹30L (Employer Est.),18d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=130&ao=1136043&s=58&guid=0000018794df77ad83b352003adf5896&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_136b8c85&cb=1681829886226&jobListingId=1008560302651&jrtk=3-0-1guadutvbk63s801-1guaduu00grh5800-086bc21655763e42-
30,Aidaptive,Machine Learning Engineer,India,Unrevealed,19d,4.7,https://www.glassdoor.co.in/partner/jobListing.htm?pos=201&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8e1b7fc1&cb=1681829928662&jobListingId=1008557080891&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-237e8a4133b9b650-
