,company name,job_title,Location,Estimated salary,posted,rating,link
441,Transorg Analytics,Data Science Specialist,Gurgaon,₹8L - ₹10L (Glassdoor Est.),30d+,2.8,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1522&ao=1136043&s=58&guid=0000018794e3dbecb6294f1b195a502a&src=GD_JOB_AD&t=SR&vt=w&cs=1_d97897a8&cb=1681830175332&jobListingId=1008430558926&jrtk=3-0-1guae7o0skhpn801-1guae7o1ki4l7800-a437407f123ce746-
442,iCRC,Data Scientist,Noida,₹6L - ₹10L (Glassdoor Est.),4d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1523&ao=1136043&s=58&guid=0000018794e3dbecb6294f1b195a502a&src=GD_JOB_AD&t=SR&vt=w&cs=1_e65dd6f2&cb=1681830175332&jobListingId=1008586752495&jrtk=3-0-1guae7o0skhpn801-1guae7o1ki4l7800-575f5e7cbd8797c2-
443,Aidetic Software Pvt Ltd,Data Scientist,Bangalore,₹8L - ₹15L (Employer Est.),24h,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1524&ao=1136043&s=58&guid=0000018794e3dbecb6294f1b195a502a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_38ffcfe6&cb=1681830175332&jobListingId=1008594717226&jrtk=3-0-1guae7o0skhpn801-1guae7o1ki4l7800-2c9a8c61a79d6111-
444,PayU,Data Scientist - MA,India,Unrevealed,30d+,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1525&ao=1136043&s=58&guid=0000018794e3dbecb6294f1b195a502a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d6c56507&cb=1681830175332&jobListingId=1008002010888&jrtk=3-0-1guae7o0skhpn801-1guae7o1ki4l7800-05929ec77ca279ff-
445,Ericsson,Data Scientist,Noida,₹5L - ₹9L (Glassdoor Est.),6d,4.1,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1526&ao=1136043&s=58&guid=0000018794e3dbecb6294f1b195a502a&src=GD_JOB_AD&t=SR&vt=w&cs=1_ad790fb1&cb=1681830175332&jobListingId=1008583788494&jrtk=3-0-1guae7o0skhpn801-1guae7o1ki4l7800-729e954093be38be-
446,CoRover,Data Scientist,Bangalore,₹3L - ₹6L (Glassdoor Est.),13d,5.0,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1527&ao=1136043&s=58&guid=0000018794e3dbecb6294f1b195a502a&src=GD_JOB_AD&t=SR&vt=w&cs=1_1bb0556d&cb=1681830175332&jobListingId=1008570354875&jrtk=3-0-1guae7o0skhpn801-1guae7o1ki4l7800-7b11c591922a4fdd-
447,AHRC Pvt Ltd,Data Scientist - Data Mining,Noida,₹10L - ₹15L (Employer Est.),30d+,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1528&ao=1136043&s=58&guid=0000018794e3dbecb6294f1b195a502a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_11485f00&cb=1681830175333&jobListingId=1008534683206&jrtk=3-0-1guae7o0skhpn801-1guae7o1ki4l7800-30ddd44d761e2e94-
448,Terminal Trend Technologies,Data Scientist,Ahmedabad,₹8L - ₹10L (Employer Est.),7d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1529&ao=1136043&s=58&guid=0000018794e3dbecb6294f1b195a502a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7d7f2a38&cb=1681830175333&jobListingId=1008581005896&jrtk=3-0-1guae7o0skhpn801-1guae7o1ki4l7800-614e163d4ee151d9-
449,Infosys,Data Science,Bangalore,₹3L - ₹9L (Glassdoor Est.),21d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1530&ao=1110586&s=58&guid=0000018794e3dbecb6294f1b195a502a&src=GD_JOB_AD&t=SR&vt=w&cs=1_461da5f6&cb=1681830175333&jobListingId=1008553644606&cpc=C4A69CCDBB3B9599&jrtk=3-0-1guae7o0skhpn801-1guae7o1ki4l7800-892518c414e536db--6NYlbfkN0C0E1kVSxZWqg_3rwn6zUnYbszXdTQpf9L-zhTFANv_MEy3-TDTKIO3vOAnPNI9rvuER6vES52YFRK-7XFeQSKpXy8WjaV1K4bHzM1eyRGpJYd3RHfbjd2jBAAWe8aCdDCXqsO8eaLz7k2DvSZSVGvOSAihx9E7KZ3WYCScMIQCzLR69RCNSOf_oJqBUETu3nEXgUC-PK6KzUBfkhMT1zlhUJDaFdlu95WUQpcQaatFaazBX9sn6UE6AEdifbjTQ__uKRrdmnHtDZdALf8hoD1DlEDIYbSoAV8bhIO_MW7dsQESDR6_k3BZ0x6onh4ur-t7Hy_fq6SLhMTHYTWXKxQTzXYp9lVscj4HxjNmAm4KxfSA1DgFWZQZVY3kOFZeQ1Ki9LCip46WxtV0njwh3nEXm1mg22vx2UxeG1oMS6mHycZOaLbJLE4zWq-BYcqvdf71Y63OkxVmn5LNOT-wsjBs1b4DnffHiHr3hdW5Ok94E8R76_LnBOX_k1bsuk6OG6JknVy5Sw0YaK5yhmBR310hAUFIXQvEu1hW_qkMYoKVfPv1kCiB3EDA16fg5yIlBmEr4adV73ElRanHKJ8lnUVW-K4kl1zAX7w%3D
450,GoTo,Staff Machine Learning Engineer,Bangalore,₹2L - ₹8L (Glassdoor Est.),28d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1601&ao=1110586&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&cs=1_fe1f8c6c&cb=1681830192894&jobListingId=1008540696660&cpc=280AB1FAEDD8D536&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-b7360f8e72a84d41--6NYlbfkN0DXrBR656PqShB4nd9ExliYcIGoAa-Cw4zASH8sJAtKR0FvrpJ2QL2iqpKuANXEDxSPWygzAbdd92PIgVmTna7S1L961VIFwuG1g1nhjSFHk2UBaHpjLh1ewUeAOHrveNDhiAl8VdV9kk58fR0WqtKSB012CZN286GWtNNhQFU20NGdd9mBxfjBSyO_iPtZVgmDa9KpYxaU-yeWfnZCoECB1ysgFmzEv763NasSxLoMn_RmStUWDHmbkspcDbIknOLC1j9Lvru3ujvAZTlLc3eeL1016BSkzlc0ZDQAVzrERDH0YxDR4pNbcrkV_OwpVfbcbGQek4I8BryjC4iCodDZWgiNwtVCGn3gZ-wL3O3IfTqENMHauVVR9GgYgu0YPekwUIyfroMprb4w7DdJqEAt3h_JCil9kCJBhP9dLe411hI8GIXna1MhTNAZLFnoFSDu-uwdkX2be3jEC6h__AB1kmnlkFrPNudAJP49fF5rbOt96YQalKRyB8zaJ8xQE55tktIWBHAwS_mJ8wOWtql1Flk9lmZDNqx1nZGapajwAKMubs8_mZEjlrgGQYFPiFlPOqO8QWpY0816YjAak3vuhlqWXGDLPPDIBOjSO-5xuUDwneTBg5BPeA4KJXVNRS5Eb6JzQPrXAVf-YZ9olM2F2hGxbWYdxExBfQgdfP0RRsU5foqszILCdMxHwcImPylfpgfgtj9TDkgmH2Mqo8hoFuQhy7X8adVVkECOk5tY_H4fDoQbphorJbdGdSGgSp5HCwT1xebZ2cRc2PMpO71grbRWudwaIL8dEA2vFBI_eH1uf30tsdGVR_G2K6CY4Dl2VWuxckMLr3jkjNG-nU2CuVX-f-tn6s2l1lBulQ6L6P8NwSGqo0CH8hrF51I2zuzmpNnHb1gUABAXrH7wNuQ0dESXsl6kMZA6XedhpMtOAYYFNfmDLTnEtk9Oyxv6MLxgk_8hzBxFI7q8IPAKflzNAdvJdYUDWoMsYYmdcEw31UWSnmXWXPr2_qI9g2KDppd-JRAsreYmYoHiGd3B3ugIGGcn8HVIubOgVEPsOb7W7px_gpgcIAnid_QsdQEYZmzwGFULQ-gRMA%3D%3D
451,TrueFan,Machine Learning Intern (GANs),Gurgaon,₹10T - ₹30T (Employer Est.),1 day ago,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1602&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2efbf405&cb=1681830192894&jobListingId=1008592100780&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-bf096c54ea8642f5-
452,Getinz,Data Scientist & Analytics - GWTZ - GGN,Gurgaon,₹10L - ₹15L (Employer Est.),10d,4.4,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1603&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&cs=1_759c7f5c&cb=1681830192894&jobListingId=1008576880822&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-4e31434c9d5173a3-
453,Aventior,Data Scientist,Pune,₹5L - ₹10L (Employer Est.),3d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1604&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_544c9b3e&cb=1681830192894&jobListingId=1008588942115&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-f7a6e8acc5758f99-
454,Raptor Supplies Limited,Data Scientist,New Delhi,₹6L - ₹25L (Employer Est.),1 day ago,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1605&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_bc065ac3&cb=1681830192894&jobListingId=1008592457678&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-649a18a05f90567b-
455,DSMATICS TECHNOLOGY SOLUTIONS PVT. LTD.,Data Scientist,Pune,₹3L - ₹10L (Employer Est.),6d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1606&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1c3febb0&cb=1681830192894&jobListingId=1008583509397&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-10de3dc817e28af1-
456,RadiusAI,Data Scientist,Karnataka,Unrevealed,5d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1607&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c3217233&cb=1681830192894&jobListingId=1008584374059&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-809477051db3d113-
457,DataStunt,Data Scientist,Noida,₹10T - ₹40T (Employer Est.),17d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1608&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5c0e7f55&cb=1681830192894&jobListingId=1008563019223&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-67cdf6093e3cf330-
458,PayU,Data Scientist,Bangalore,₹5L - ₹10L (Glassdoor Est.),26d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1609&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8df7bfe5&cb=1681830192894&jobListingId=1008545396546&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-a3c43693786817ea-
459,Kwalee,Machine Learning Engineer,Bangalore,₹6L - ₹8L (Glassdoor Est.),3d,3.3,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1610&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&cs=1_bd0b5bdb&cb=1681830192895&jobListingId=1008589186402&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-c84494df52212457-
460,Episeio business solutions,Data Scientist,India,₹20L (Employer Est.),3d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1611&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_369cfd0e&cb=1681830192895&jobListingId=1008588924121&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-ec45200509d2a943-
461,HIRINGNINJA,Data scientist,Bangalore,₹12L - ₹20L (Employer Est.),5d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1612&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_21b2e6d5&cb=1681830192895&jobListingId=1008586185687&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-5aa7f0bb03efffc4-
462,Mastercard,Data Scientist,Gurgaon,₹2L - ₹2L (Glassdoor Est.),8d,4.3,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1613&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&cs=1_2542ae69&cb=1681830192895&jobListingId=1008579260859&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-1530d7e56d2655f4-
463,Aidaptive,Machine Learning Engineer,India,Unrevealed,19d,4.7,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1614&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_bf0680d7&cb=1681830192895&jobListingId=1008557080891&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-237e8a4133b9b650-
464,Flipped.ai,Machine Learning Engineer,Bangalore,₹8L - ₹12L (Employer Est.),30d+,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1615&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_97b8c092&cb=1681830192895&jobListingId=1008404163994&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-63b5e671e9ff8b24-
465,Iris software,Data Scientist,Noida,₹6L - ₹7L (Glassdoor Est.),30d+,4.4,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1616&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&cs=1_21d7ce60&cb=1681830192895&jobListingId=1008528595392&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-befb9f3c90b653e7-
466,Lenskart,Data Scientist,Gurgaon,₹3L - ₹6L (Glassdoor Est.),30d+,4.1,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1617&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2c079019&cb=1681830192895&jobListingId=1007285294048&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-13027c95012596b8-
467,Eoraa & Co.,Data Scientist,New Delhi,₹2L - ₹8L (Glassdoor Est.),30d+,4.0,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1618&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&cs=1_8cae35e9&cb=1681830192895&jobListingId=1007788365685&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-a8004d4d60d6a554-
468,Puneri Pattern,Data Scientist,Maharashtra,Unrevealed,30d+,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1619&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&cs=1_569cd07f&cb=1681830192896&jobListingId=1008518765011&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-ebb1fe9d4e0a9467-
469,Mercedes-Benz Research and Development India Private Limited,Data and Analytics Engineer,Bangalore,₹7L - ₹7L (Glassdoor Est.),5d,4.0,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1620&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&cs=1_73c0c9a3&cb=1681830192896&jobListingId=1008584704633&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-041e8386cab1b588-
470,Transorg Analytics,Data Science Specialist,Gurgaon,₹8L - ₹10L (Glassdoor Est.),30d+,2.8,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1621&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&cs=1_a81886b4&cb=1681830192896&jobListingId=1008430558926&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-a437407f123ce746-
471,Aidetic Software Pvt Ltd,Data Scientist,Bangalore,₹8L - ₹15L (Employer Est.),24h,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1622&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f61c83ba&cb=1681830192896&jobListingId=1008594717226&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-2c9a8c61a79d6111-
472,H.S. Corporation,Machine Learning Intern,Bharatpur,₹10T - ₹15T (Employer Est.),1 day ago,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1623&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f4ae8e75&cb=1681830192896&jobListingId=1008592293652&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-decbd1639365820b-
473,iCRC,Data Scientist,Noida,₹6L - ₹10L (Glassdoor Est.),4d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1624&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&cs=1_c3c7ea11&cb=1681830192896&jobListingId=1008586752495&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-575f5e7cbd8797c2-
474,PayU,Data Scientist - MA,India,Unrevealed,30d+,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1625&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_958a5938&cb=1681830192896&jobListingId=1008002010888&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-05929ec77ca279ff-
475,Terminal Trend Technologies,Data Scientist,Ahmedabad,₹8L - ₹10L (Employer Est.),7d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1626&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ffb4f0c7&cb=1681830192896&jobListingId=1008581005896&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-614e163d4ee151d9-
476,CoRover,Data Scientist,Bangalore,₹3L - ₹6L (Glassdoor Est.),13d,5.0,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1627&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&cs=1_58ff6952&cb=1681830192896&jobListingId=1008570354875&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-7b11c591922a4fdd-
477,Screatives Software Services Private Limited,Data Scientist,Bangalore,₹6L - ₹23L (Employer Est.),5d,4.6,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1628&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c65e4cd&cb=1681830192897&jobListingId=1008586202513&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-089f6249dfda3871-
478,SearchUrCollege,Data Scientist,Noida,₹5L - ₹13L (Employer Est.),30d+,4.0,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1629&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&cs=1_425ee928&cb=1681830192897&jobListingId=1006500025617&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-221d6afa3757039d-
479,Ericsson,Data Scientist,Noida,₹5L - ₹9L (Glassdoor Est.),6d,4.1,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1630&ao=1136043&s=58&guid=0000018794e425599c574525a46fbe76&src=GD_JOB_AD&t=SR&vt=w&cs=1_1d9df86d&cb=1681830192897&jobListingId=1008583788494&jrtk=3-0-1guae89bnk27s801-1guae89cri4mh800-729e954093be38be-
480,GoTo,Staff Machine Learning Engineer,Bangalore,₹2L - ₹8L (Glassdoor Est.),28d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1701&ao=1110586&s=58&guid=0000018794e471d3b405b5bd8b76985f&src=GD_JOB_AD&t=SR&vt=w&cs=1_db2ac231&cb=1681830212383&jobListingId=1008540696660&cpc=280AB1FAEDD8D536&jrtk=3-0-1guae8sfekhq3801-1guae8sg724hn000-b7360f8e72a84d41--6NYlbfkN0DXrBR656PqShB4nd9ExliYcIGoAa-Cw4zASH8sJAtKR0FvrpJ2QL2iqpKuANXEDxSPWygzAbdd92PIgVmTna7S1L961VIFwuG1g1nhjSFHk2UBaHpjLh1ewUeAOHrveNDhiAl8VdV9kk58fR0WqtKSB012CZN286GWtNNhQFU20NGdd9mBxfjBOMg7tvIn5V8Z1vuhFwQVz9aq1iiZCO0tI7nQCAbuLbiGZSQ6mTr34xwpdAdxnH1LB7A5J1N3m1MP9zDD6Yb-5nT2y4BD3xrBu3u6qj4WPl54MTPXSMAd1w_SYIJmGD5I_VJN29njckuhTjA9Y39KQ-FXSkCWlwr2lOJ3sRPSgmeGsmehDoEHCRYqyfaMeqGgmv6AJ3F7gsNFGHKsJK2Q4vsVqQ5c2SInXOeh9jGKN0Hn_XQeoVGdUE3PDpq9VQsnrSReDUZra9GbKhjU-CxFwpRT2oyd2kLNu99iylsUY8tbjmO0N-VjOSB_5JFfX0cbNioumQv5YoqXRn8kSn5o0ykSmtujL4VTFPGF4MbUMzuMNENwNHNduzQyJV4BiOkrU8ZeRQOBFjAKKEcyaTXBqevAWGdkkSQzBFYJg039LduUX-uqioo8JTooAg9zbWGUdaPcXHJYJi2L1-zbPoX8xonhN90RE_FexZsNuIiVaaPNKqt8ROePcRHy6F2jPPIb89TCU2CaaJggFXYQpTnNxTEl7kexla62VUiqAwAC9I64C82jvc0h_x7SxbxB_3BwQfTmM7ku5uQIMxmwg_LpvH5bR31q9-hM9tvpkMXfEEysaaoZprsiygpo-yOYMy6DqSERmRz-9Um_3j8WlGaIeuAez2Jre813Cai3cxAvf7WX1T34KKlgovi70wC2KxpcHeJZJz5jj-TxlygShTsDh12hJj4jOcL55XOg8G1Al6j2nIfnJtr7ZsNSlw1mXrNAcEHflUc_kqYHZFh633D9ufq_SHZC_ZgTQnwGMqRL3cmcETduZecWQ5odJu6WA8TCeYiRsLCD21KJ_6ldEtUi1TJ1EKaZCd5im2_-jpcT7KjxDmjQJ37WL1pn8FYdaJ04K4REB3rMUP1H7CpHXZQw8A%3D%3D
481,TrueFan,Machine Learning Intern (GANs),Gurgaon,₹10T - ₹30T (Employer Est.),1 day ago,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1702&ao=1136043&s=58&guid=0000018794e471d3b405b5bd8b76985f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0bceba58&cb=1681830212383&jobListingId=1008592100780&jrtk=3-0-1guae8sfekhq3801-1guae8sg724hn000-bf096c54ea8642f5-
482,Getinz,Data Scientist & Analytics - GWTZ - GGN,Gurgaon,₹10L - ₹15L (Employer Est.),10d,4.4,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1703&ao=1136043&s=58&guid=0000018794e471d3b405b5bd8b76985f&src=GD_JOB_AD&t=SR&vt=w&cs=1_50a93101&cb=1681830212383&jobListingId=1008576880822&jrtk=3-0-1guae8sfekhq3801-1guae8sg724hn000-4e31434c9d5173a3-
483,Aventior,Data Scientist,Pune,₹5L - ₹10L (Employer Est.),3d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1704&ao=1136043&s=58&guid=0000018794e471d3b405b5bd8b76985f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d628337f&cb=1681830212383&jobListingId=1008588942115&jrtk=3-0-1guae8sfekhq3801-1guae8sg724hn000-f7a6e8acc5758f99-
484,DSMATICS TECHNOLOGY SOLUTIONS PVT. LTD.,Data Scientist,Pune,₹3L - ₹10L (Employer Est.),6d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1705&ao=1136043&s=58&guid=0000018794e471d3b405b5bd8b76985f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0b2588ce&cb=1681830212383&jobListingId=1008583509397&jrtk=3-0-1guae8sfekhq3801-1guae8sg724hn000-10de3dc817e28af1-
485,RadiusAI,Data Scientist,Karnataka,Unrevealed,5d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1706&ao=1136043&s=58&guid=0000018794e471d3b405b5bd8b76985f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0d6d4cd1&cb=1681830212383&jobListingId=1008584374059&jrtk=3-0-1guae8sfekhq3801-1guae8sg724hn000-809477051db3d113-
486,Raptor Supplies Limited,Data Scientist,New Delhi,₹6L - ₹25L (Employer Est.),1 day ago,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1707&ao=1136043&s=58&guid=0000018794e471d3b405b5bd8b76985f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e734af1e&cb=1681830212383&jobListingId=1008592457678&jrtk=3-0-1guae8sfekhq3801-1guae8sg724hn000-649a18a05f90567b-
487,PayU,Data Scientist,Bangalore,₹5L - ₹10L (Glassdoor Est.),26d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1708&ao=1136043&s=58&guid=0000018794e471d3b405b5bd8b76985f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e4ea671b&cb=1681830212383&jobListingId=1008545396546&jrtk=3-0-1guae8sfekhq3801-1guae8sg724hn000-a3c43693786817ea-
488,Kwalee,Machine Learning Engineer,Bangalore,₹6L - ₹8L (Glassdoor Est.),3d,3.3,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1709&ao=1136043&s=58&guid=0000018794e471d3b405b5bd8b76985f&src=GD_JOB_AD&t=SR&vt=w&cs=1_0d40deb9&cb=1681830212384&jobListingId=1008589186402&jrtk=3-0-1guae8sfekhq3801-1guae8sg724hn000-c84494df52212457-
489,Episeio business solutions,Data Scientist,India,₹20L (Employer Est.),3d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1710&ao=1136043&s=58&guid=0000018794e471d3b405b5bd8b76985f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5f8125f0&cb=1681830212384&jobListingId=1008588924121&jrtk=3-0-1guae8sfekhq3801-1guae8sg724hn000-ec45200509d2a943-
490,HIRINGNINJA,Data scientist,Bangalore,₹12L - ₹20L (Employer Est.),5d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1711&ao=1136043&s=58&guid=0000018794e471d3b405b5bd8b76985f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6252a854&cb=1681830212384&jobListingId=1008586185687&jrtk=3-0-1guae8sfekhq3801-1guae8sg724hn000-5aa7f0bb03efffc4-
491,DataStunt,Data Scientist,Noida,₹10T - ₹40T (Employer Est.),17d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1712&ao=1136043&s=58&guid=0000018794e471d3b405b5bd8b76985f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6362d0ce&cb=1681830212384&jobListingId=1008563019223&jrtk=3-0-1guae8sfekhq3801-1guae8sg724hn000-67cdf6093e3cf330-
492,Flipped.ai,Machine Learning Engineer,Bangalore,₹8L - ₹12L (Employer Est.),30d+,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1713&ao=1136043&s=58&guid=0000018794e471d3b405b5bd8b76985f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8229f976&cb=1681830212384&jobListingId=1008404163994&jrtk=3-0-1guae8sfekhq3801-1guae8sg724hn000-63b5e671e9ff8b24-
